rank_300R,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
1,count_basic,CountVectorizer Basic,count,low,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,count_basic__multinomial_nb,completed,1.0,1.0,1.0,1.0,1.0,0.010390758514404297,0.0028145313262939453,22.7548828125,100.0,99.31368591308595,100,99.8627371826172,
2,count_basic,CountVectorizer Basic,count,low,complement_nb,Complement Naive Bayes,probabilistic,low,count_basic__complement_nb,completed,1.0,1.0,1.0,1.0,1.0,0.058953046798706055,0.009092092514038086,25.1298828125,100.0,98.59815851211548,100,99.7196317024231,
3,count_basic,CountVectorizer Basic,count,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_basic__logreg_balanced,completed,1.0,1.0,1.0,1.0,1.0,0.1553969383239746,0.0071599483489990234,16.125,100.0,98.31552146911622,100,99.66310429382325,
4,count_basic,CountVectorizer Basic,count,low,sgd_log,SGDClassifier Logistic Loss,linear,medium,count_basic__sgd_log,completed,1.0,1.0,1.0,1.0,1.0,0.014309883117675781,0.0028693675994873047,16.265625,100.0,99.41666614532471,85,97.63333322906496,
5,count_basic,CountVectorizer Basic,count,low,linear_svc,LinearSVC,margin_based,medium,count_basic__linear_svc,completed,1.0,1.0,1.0,1.0,1.0,0.022557973861694336,0.003020763397216797,15.94921875,100.0,99.36442197799683,85,97.62288439559937,
6,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,sgd_log,SGDClassifier Logistic Loss,linear,medium,tfidf_word_1_2__sgd_log,completed,1.0,1.0,1.0,1.0,1.0,0.046666622161865234,0.013730287551879883,76.78515625,100.0,97.36047988891602,85,97.22209597778321,
7,hashing_word,HashingVectorizer Word,hashing,medium,logreg_balanced,Logistic Regression Balanced,linear,low,hashing_word__logreg_balanced,completed,0.9866666666666667,0.9866613311991462,0.9866613311991462,0.9871794871794872,0.9866666666666667,0.061659812927246094,0.0032956600189208984,49.5009765625,98.66626650660264,98.44228199005127,85,96.70490297664172,
8,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_char_3_5__logreg_balanced,completed,1.0,1.0,1.0,1.0,1.0,0.3989691734313965,0.04642438888549805,285.81640625,100.0,89.10439350128175,85,95.57087870025636,
9,hashing_word,HashingVectorizer Word,hashing,medium,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,hashing_word__multinomial_nb,completed,0.9466666666666667,0.9465464309018752,0.9465464309018751,0.9501424501424501,0.9466666666666667,0.021787643432617188,0.00646209716796875,97.3369140625,94.6576489843073,97.53481002807618,85,94.31866894698425,
10,hashing_word,HashingVectorizer Word,hashing,medium,complement_nb,Complement Naive Bayes,probabilistic,low,hashing_word__complement_nb,completed,0.9466666666666667,0.9465464309018752,0.9465464309018751,0.9501424501424501,0.9466666666666667,0.019841909408569336,0.0061626434326171875,113.3994140625,94.6576489843073,97.24320165634155,85,94.26034727263733,
